company_name,credit_code,industry_tags,business_scope,rules_score,rules_level,llm_score,llm_level,demand_tags,sales_pitch,reasoning,news_count,recruitment_count,bidding_count,rated_at
武汉旷视物流科技有限公司,,"['智能物流', 'AI']",AI物流解决方案、智慧仓储、供应链优化,47,B,54,C,"['数据中台', '云服务', 'AI应用']",AI物流专家，内需数字化升级待挖掘,技术投入维度数据缺失，按中等水平15分；资金实力融资阶段未知，按中等10分；转型意愿无明确信息，按中等12.5分；团队规模仅知技术岗位占比10%，员工总数未知，按中等7.5分；行业匹配度高，物流科技行业数字化需求强烈，给予9分。综合总分54分，为C级较低需求。,15,2,1,2026-08-19 11:05:10.553733
武汉爱迪软件技术有限公司,91420100MA4F3N3H5N,,智慧检务软件产品开发、信息系统集成服务、软件开发、信息技术咨询,42,B,53,C,"['政务数字化', '协同办公', '数据安全']",智慧检务专家，赋能政务数字化,技术投入、资金实力、转型意愿、团队规模等维度数据缺失，按中等水平评估（分别计15、10、12.5、7.5分）；行业为智慧检务与系统集成，匹配度较高（计8分）。综合得分53分，属于较低需求，建议低成本维护。,13,8,1,2026-08-06 16:44:19.979736
远光软件(武汉)有限公司,91420100333557392D,,软件开发、信息技术咨询服务、计算机系统集成、大数据分析,49,B,53,C,"['数据中台', '云原生', 'AI应用']",深耕软件与大数据，助力企业数字化升级,技术投入、资金实力、转型意愿、团队规模等维度数据缺失，按中等水平评估（分别计15、10、12.5、7.5分）；行业为软件开发与大数据分析，匹配度较高（计8分）。综合得分53分，属于较低需求，建议低成本维护。,16,10,1,2026-08-06 16:44:19.979736
武汉天泽智云科技有限公司,,"['工业软件', 'PHM']",设备预测性维护、PHM系统、工业AI,37,C,,,,,,15,2,1,2026-08-19 11:04:40.638671
武汉观为技术软件有限公司,,"['预测性维护', '大数据']",设备预测性维护、大数据分析、工业AI,37,C,,,,,,8,6,1,2026-08-19 11:04:40.638671
武汉深信服科技有限公司,,"['网络安全', '云计算']",网络安全产品研发、云计算服务、虚拟化技术、软件开发,37,C,,,,,,16,10,1,2026-08-19 10:18:59.652733
武汉灿宇未来科技有限公司,91420111MA49RM6Q01,,信息技术咨询服务、软件开发、人工智能基础软件开发、网络技术服务,34,C,,,,,,14,10,0,2026-08-06 16:37:55.195545
武汉斗鱼网络科技有限公司,91420100333437374F,,网络直播平台运营、互联网技术开发、软件开发、信息技术咨询服务、计算机系统集成,34,C,,,,,,14,8,0,2026-08-06 16:37:55.195545
武汉千方科技有限公司,,"['智能交通', '车路协同']",智慧交通、车路协同、交通大数据,33,C,,,,,,8,4,1,2026-08-19 11:04:40.638671
武汉智慧交通科技有限公司,,"['智能交通', '大数据']",智慧交通、交通大数据、信号优化,33,C,,,,,,8,4,1,2026-08-19 11:04:40.638671
武汉华信数据科技有限公司,,"['智慧水务', '大数据']",水务大数据、智慧运营、数据分析,28,C,,,,,,8,4,1,2026-08-19 11:04:40.638671
武汉绿领科技有限公司,,"['智慧农业', '大数据']",农业大数据、精准农业、智慧种植,28,C,,,,,,8,4,1,2026-08-19 11:04:40.638671
武汉快仓机器人科技有限公司,,"['智能物流', '机器人']",仓储机器人、智能分拣系统、智慧物流,27,C,,,,,,15,4,1,2026-08-19 11:04:40.638671
腾讯科技(武汉)有限公司,91420100584872426J,,计算机软硬件技术开发、销售；互联网技术开发；信息技术咨询服务；网络游戏开发,25,C,,,,,,14,4,0,2026-08-06 16:37:55.195545
武汉丰普科技有限公司,,"['智慧农业', '物联网']",农业物联网、智能灌溉、农业大数据,25,C,,,,,,8,4,1,2026-08-19 11:04:40.638671
小米科技(武汉)有限公司,,"['互联网', '智能硬件']",移动互联网技术开发、智能硬件研发、软件开发、信息技术服务,24,C,,,,,,16,8,0,2026-08-19 10:18:59.652733
东风汽车集团有限公司,,"['汽车', '智能制造']",整车制造、智能网联汽车、新能源汽车、智能制造,23,C,,,,,,13,4,3,2026-08-18 20:22:38.629792
武汉国联质检科技有限公司,,"['智能检测', '质量']",第三方检测、质量大数据、智能质检,23,C,,,,,,8,4,1,2026-08-19 11:04:40.638671
武汉华中数控股份有限公司,,"['智能制造', '数控']",数控系统、工业机器人、智能制造装备,22,C,,,,,,6,4,0,2026-08-18 22:00:02.632819
武汉极目科技有限公司,,"['智慧农业', '无人机']",农业无人机、植保机器人、智慧农业,22,C,,,,,,8,4,1,2026-08-19 11:04:40.638671
武汉灵动科技有限公司,,"['智能物流', 'AMR']",AMR移动机器人、柔性物流、智慧仓储,22,C,,,,,,16,4,1,2026-08-19 11:04:40.638671
武汉蓝胖子机器人有限公司,,"['智能物流', '分拣']",智能分拣机器人、包裹处理、智慧物流,22,C,,,,,,15,4,1,2026-08-19 11:04:40.638671
武汉广联达科技有限公司,,"['BIM', '建筑信息化']",BIM平台、工程造价软件、建筑信息化,20,C,,,,,,8,8,1,2026-08-19 11:04:40.638671
武汉易华录信息技术有限公司,,"['智能交通', '数据湖']",交通数据湖、智慧交通、城市大脑,20,C,,,,,,8,4,1,2026-08-19 11:04:40.638671
武汉鲁班软件有限公司,,"['BIM', '造价']",工程造价软件、BIM模型、建筑信息化,20,C,,,,,,8,8,1,2026-08-19 11:04:40.638671
武汉品茗股份有限公司,,"['BIM', '智慧工地']",智慧工地、BIM施工、建筑信息化,20,C,,,,,,8,4,1,2026-08-19 11:04:40.638671
武汉新松机器人有限公司,,"['机器人', '智能制造']",工业机器人、移动机器人、智能制造装备,17,D,,,,,,15,4,0,2026-08-19 11:04:40.638671
武汉华中科大安能信息技术有限公司,,"['智能制造', '数字工厂']",数字化工厂、工业互联网、智能制造解决方案,17,D,,,,,,15,2,1,2026-08-19 11:04:40.638671
武汉大禹水务科技有限公司,,"['智慧水务', '物联网']",智慧水务、水务物联网、水处理自控,17,D,,,,,,8,4,1,2026-08-19 11:04:40.638671
武汉中设数字技术有限公司,,"['BIM', '设计']",BIM设计软件、建筑数字化、工程协同,17,D,,,,,,8,8,1,2026-08-19 11:04:40.638671
武汉卡奥斯工业互联网有限公司,,"['工业互联网', '智能制造']",工业互联网平台、智能制造、数字化工厂,17,D,,,,,,8,2,1,2026-08-19 11:04:40.638671
武汉力源水务科技有限公司,,"['智慧水务', 'SCADA']",水务SCADA、管网监测、智慧水务,15,D,,,,,,8,4,1,2026-08-19 11:04:40.638671
武汉益造软件有限公司,,"['工业软件', 'MES']",MES系统、制造执行、工业软件开发,15,D,,,,,,15,8,0,2026-08-19 11:04:40.638671
武汉亿纬锂能股份有限公司,,"['新能源', '电池']",锂电池、储能系统、智能制造,15,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉海迈科技有限公司,,"['BIM', '智慧建造']",智慧建造平台、BIM应用、建筑信息化,15,D,,,,,,8,4,1,2026-08-19 11:04:40.638671
武汉寄云科技有限公司,,"['工业软件', '工业互联网']",工业互联网平台、设备运维、数据分析,15,D,,,,,,15,6,0,2026-08-19 11:04:40.638671
武汉天耀环保科技有限公司,,"['工业环保', '监测']",环境监测设备、污染源监控、智慧环保,15,D,,,,,,8,4,1,2026-08-19 11:04:40.638671
博格华纳汽车零部件（武汉）有限公司,,"['汽车零部件', '智能制造']",汽车零部件、传动系统、智能制造、电驱动系统,15,D,,,,,,13,4,3,2026-08-18 20:22:38.629792
武汉国轩高科动力能源有限公司,,"['新能源', '电池']",动力电池、储能电池、智能制造,13,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉国电南自有限公司,,"['电力自动化', '智能制造']",电力自动化、智能电网、变电站自动化,13,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉钱江机器人有限公司,,"['机器人', '智能制造']",工业机器人、六轴机器人、智能制造装备,12,D,,,,,,15,4,0,2026-08-19 11:04:40.638671
武汉汇博科技有限公司,,"['机器人', '智能制造']",工业机器人、自动化装备、智能制造解决方案,12,D,,,,,,15,4,0,2026-08-19 11:04:40.638671
武汉埃斯顿机器人有限公司,,"['机器人', '智能制造']",工业机器人、伺服系统、智能制造装备,12,D,,,,,,16,4,0,2026-08-19 11:04:40.638671
武汉绿盟科技有限公司,,"['网络安全', '信息技术']",网络安全产品研发、信息安全服务、信息技术咨询服务,12,D,,,,,,16,2,0,2026-08-19 10:18:59.652733
武汉开目信息技术股份有限公司,,"['工业软件', 'CAPP']",CAPP/MPM软件、工艺管理、智能制造软件,10,D,,,,,,15,8,0,2026-08-19 11:04:40.638671
武汉华天软件有限公司,,"['工业软件', 'CAD']",CAD/CAE软件、三维设计、PLM系统,10,D,,,,,,15,8,0,2026-08-19 11:04:40.638671
武汉智能装备工业技术研究院有限公司,,"['智能制造', '装备']",智能制造装备研发、工业技术、智能工厂方案,10,D,,,,,,6,4,0,2026-08-18 22:00:02.632819
武汉和利时自动化有限公司,,"['自动化', 'DCS']",工业DCS系统、PLC、智能工厂控制,10,D,,,,,,15,4,0,2026-08-19 11:04:40.638671
武汉积成电子有限公司,,"['电力自动化', '配网']",配网自动化、电力物联网、智能电网,7,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉斯坦德机器人有限公司,,"['智能物流', 'AMR']",AMR机器人、工业物流、智能制造,7,D,,,,,,15,4,0,2026-08-19 11:04:40.638671
武汉博实机器人有限公司,,"['机器人', '智能制造']",工业机器人、自动化生产线、智能制造,7,D,,,,,,15,4,0,2026-08-19 11:04:40.638671
武汉ABB机器人有限公司,,"['机器人', '智能制造']",工业机器人、离散自动化、智能制造,7,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉奋进智能机械有限公司,,"['智能制造', '装备']",智能机械装备、自动化产线、工业机器人集成,7,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉威胜电子有限公司,,"['智能仪表', '电能表']",智能电能表、用电信息采集、物联网终端,7,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉发那科机器人有限公司,,"['机器人', '数控']",工业机器人、数控系统、智能制造集成,7,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉珞石机器人有限公司,,"['机器人', '协作']",协作机器人、轻载机器人、智能制造,7,D,,,,,,15,4,0,2026-08-19 11:04:40.638671
武汉遨博智能科技有限公司,,"['机器人', '协作']",协作机器人、人机协作、智能制造装备,7,D,,,,,,15,4,0,2026-08-19 11:04:40.638671
武汉金石机器人有限公司,,"['机器人', '智能制造']",工业机器人、焊接机器人、智能制造装备,7,D,,,,,,16,4,0,2026-08-19 11:04:40.638671
武汉特来电新能源有限公司,,"['新能源', '充电桩']",智能充电桩、充电网络运营、物联网,7,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉星星充电科技有限公司,,"['新能源', '充电桩']",智能充电设备、充电运营平台、物联网,7,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉智芯微电子科技有限公司,,"['电力物联网', '芯片']",电力物联网芯片、智能电表芯片、嵌入式开发,7,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉徐工汉云信息技术有限公司,,"['工业互联网', '工程机械']",工业互联网平台、工程机械互联、远程运维,5,D,,,,,,8,2,0,2026-08-19 11:04:40.638671
武汉中控技术有限公司,,"['自动化', 'DCS']",工业DCS系统、PLC、工业自动化控制,5,D,,,,,,15,4,0,2026-08-19 11:04:40.638671
武汉汇川技术股份有限公司,,"['自动化', '伺服']",伺服系统、变频器、PLC、工业自动化,5,D,,,,,,14,4,0,2026-08-19 11:04:40.638671
武汉信捷电气有限公司,,"['自动化', 'PLC']",PLC、人机界面、工业自动化控制,5,D,,,,,,12,4,0,2026-08-19 11:04:40.638671
武汉麦格米特电气股份有限公司,,"['自动化', '电源']",工业电源、变频器、智能制造装备,5,D,,,,,,14,4,0,2026-08-19 11:04:40.638671
武汉橙智云科技有限公司,,"['工业软件', '数字孪生']",数字孪生平台、工业仿真、智能制造软件,5,D,,,,,,15,8,0,2026-08-19 11:04:40.638671
武汉优也信息科技有限公司,,"['工业软件', '能效']",工业能效优化、工艺优化、智能制造软件,5,D,,,,,,15,8,0,2026-08-19 11:04:40.638671
武汉未来机器人有限公司,,"['智能物流', '无人叉车']",无人叉车、视觉导航、智能仓储,5,D,,,,,,15,4,0,2026-08-19 11:04:40.638671
武汉光谷微创新科技有限公司,,"['智能制造', '创新']",智能制造创新服务、技术咨询、产业孵化,5,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉智能云制造有限公司,,"['智能制造', '云制造']",云制造平台、智能制造服务、工业SaaS,5,D,,,,,,8,2,0,2026-08-19 11:04:40.638671
武汉凌云光电技术有限公司,,"['激光', '智能制造']",激光加工装备、激光焊接、智能制造,5,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉华工图像技术有限责任公司,,"['激光', '防伪']",激光全息防伪、数字水印、智能制造,5,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉国力通达智能装备有限公司,,"['智能制造', '装备']",智能装配线、自动化装备、智能制造方案,5,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉海尔数字科技有限公司,,"['工业互联网', 'COSMOPlat']",COSMOPlat工业互联网、大规模定制、智能制造,5,D,,,,,,8,2,0,2026-08-19 11:04:40.638671
武汉用友精智工业互联网有限公司,,"['工业互联网', 'ERP']",工业互联网平台、ERP云服务、智能制造,5,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉金蝶工业互联网有限公司,,"['工业互联网', 'ERP']",工业互联网平台、企业云服务、智能制造,5,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉许继电气有限公司,,"['电力自动化', '智能制造']",电力装备、智能电网、继电保护,5,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉四方继保工程技术有限公司,,"['电力自动化', '继电保护']",继电保护装置、变电站自动化、智能电网,5,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉南瑞继保电气有限公司,,"['电力自动化', '保护']",电力保护设备、柔性输电、智能电网,5,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉孚能科技有限公司,,"['新能源', '电池']",动力电池、软包电池、智能制造,5,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉金溢科技股份有限公司,,"['智能交通', 'ETC']",ETC设备、智能收费、车路协同,5,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉万集科技股份有限公司,,"['智能交通', 'V2X']",V2X设备、激光雷达、智能交通,5,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉安世亚太科技有限公司,,"['工业仿真', 'CAE']",CAE仿真、结构分析、流体仿真,5,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉同轴科技有限公司,,"['工业仿真', 'CFD']",CFD仿真软件、热仿真、流体分析,5,D,,,,,,8,8,0,2026-08-19 11:04:40.638671
武汉博世力士乐传动有限公司,,"['智能制造', '传动']",传动与控制技术、液压系统、智能制造,5,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉西门子数控系统有限公司,,"['智能制造', '数控']",数控系统、运动控制、智能制造装备,5,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉施耐德电气有限公司,,"['自动化', '配电']",配电设备、工业自动化、能效管理,5,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉华工图像技术开发有限公司,,"['智能包装', '防伪']",激光全息防伪包装、智能标签、数字印刷,5,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉国自机器人技术有限公司,,"['机器人', '巡检']",巡检机器人、智能巡检、工业自动化,2,D,,,,,,15,4,0,2026-08-19 11:04:40.638671
武汉盛天网络科技有限公司,,"['互联网', '游戏']",网络游戏开发、互联网技术服务、软件开发、数字娱乐,,,,,,,,0,0,0,
武汉多益网络科技有限公司,,"['互联网', '游戏']",网络游戏开发、互联网技术服务、软件开发、数字娱乐,,,,,,,,0,0,0,
武汉极光互娱网络科技有限公司,,"['互联网', '游戏']",手机游戏开发、互联网技术服务、软件开发,,,,,,,,0,0,0,
武汉掌游科技有限公司,,"['互联网', '游戏']",手机游戏开发、互联网技术服务、软件开发,,,,,,,,0,0,0,
武汉微派网络科技有限公司,,"['互联网', '游戏']",休闲游戏开发、互联网技术服务、软件开发,,,,,,,,0,0,0,
武汉游族信息技术有限公司,,"['互联网', '游戏']",网络游戏开发、互联网技术服务、软件开发、数字娱乐,,,,,,,,0,0,0,
武汉尚德科技有限公司,,"['软件开发', '信息技术']",软件开发、信息技术咨询、计算机系统集成、数据分析,,,,,,,,0,0,0,
武汉同望信息技术有限公司,,"['软件开发', '信息技术']",工程造价软件、项目管理软件、信息技术服务、软件开发,,,,,,,,0,0,0,
武汉华宇信息技术有限公司,,"['软件开发', '信息技术']",法律行业软件、电子政务软件、信息技术服务、软件开发,,,,,,,,0,0,0,
武汉法智易科技有限公司,,"['软件开发', '法律科技']",法律科技平台、合同管理软件、信息技术服务、软件开发,,,,,,,,0,0,0,
武汉慧策信息技术有限公司,,"['SaaS', '电子商务']",电商ERP服务、SaaS平台开发、信息技术咨询、数据分析,,,,,,,,0,0,0,
武汉金融港信息技术有限公司,,"['金融科技', '软件开发']",金融行业软件、风控系统开发、信息技术咨询、数据分析,,,,,,,,0,0,0,
武汉乐享互联网科技有限公司,,"['互联网', '软件开发']",互联网应用开发、软件开发、信息技术咨询、数据分析,,,,,,,,0,0,0,
武汉花桥网络技术有限公司,,"['互联网', '软件开发']",互联网应用开发、软件开发、信息技术服务、系统集成,,,,,,,,0,0,0,
武汉多牛网络科技有限公司,,"['互联网', '媒体']",互联网媒体平台、内容分发、软件开发、信息技术服务,,,,,,,,0,0,0,
武汉爱奇互联网科技有限公司,,"['互联网', '软件开发']",互联网技术服务、软件开发、信息技术咨询、数据分析,,,,,,,,0,0,0,
武汉网福科技有限公司,,"['互联网', '软件开发']",互联网应用开发、软件开发、信息技术咨询、数字营销,,,,,,,,0,0,0,
武汉极光网络科技有限公司,,"['互联网', '软件开发']",推送服务、开发者服务、软件开发、信息技术咨询,,,,,,,,0,0,0,
武汉秀派网络科技有限公司,,"['互联网', '电子商务']",电子商务平台、互联网技术服务、软件开发,,,,,,,,0,0,0,
武汉卷皮网络科技有限公司,,"['互联网', '电子商务']",时尚电商、互联网零售、软件开发、数据分析,,,,,,,,0,0,0,
武汉宁美网络科技有限公司,,"['互联网', '电子商务']",电脑电商、互联网零售、软件开发、信息技术服务,,,,,,,,0,0,0,
武汉斑马快跑科技有限公司,,"['互联网', '出行']",互联网出行平台、软件开发、信息技术服务、数据分析,,,,,,,,0,0,0,
武汉中科曙光信息技术有限公司,,"['云计算', '信息技术']",高性能计算、云计算服务、信息技术咨询、系统集成,,,,,,,,0,0,0,
武汉百纳信息科技有限公司,,"['软件开发', '移动互联网']",移动互联网应用开发、软件开发、信息技术咨询服务,,,,,,,,0,0,0,
武汉浪潮信息技术有限公司,,"['云计算', '信息技术']",云计算服务器、大数据平台、信息技术服务、系统集成,,,,,,,,0,0,0,
武汉金蝶软件有限公司,,"['软件开发', 'SaaS']",企业管理软件、云ERP服务、财务软件、信息技术咨询,,,,,,,,0,0,0,
武汉用友网络科技有限公司,,"['软件开发', 'SaaS']",企业ERP软件、财务管理软件、SaaS服务、信息技术咨询,,,,,,,,0,0,0,
武汉正航电气有限公司,,"['自动化', '变频']",变频器、伺服驱动、工业自动化控制,0,D,,,,,,15,4,0,2026-08-19 11:04:40.638671
武汉中科软科技有限公司,,"['软件开发', '信息技术']",保险行业软件、信息技术服务、软件开发、系统集成,,,,,,,,0,0,0,
武汉东华软件有限公司,,"['软件开发', '系统集成']",行业应用软件、系统集成、信息技术服务、数字化咨询,,,,,,,,0,0,0,
武汉神州数码信息系统有限公司,,"['系统集成', '信息技术']",信息系统集成、IT产品分销、云计算服务、信息技术咨询,,,,,,,,0,0,0,
武汉中国软件技术服务有限公司,,"['软件开发', '信息技术']",软件技术服务、信息技术咨询、系统集成、软件开发,,,,,,,,0,0,0,
武汉诚迈科技有限公司,,"['软件开发', '嵌入式']",嵌入式软件开发、移动终端软件、智能座舱软件、信息技术服务,,,,,,,,0,0,0,
武汉迈威科技有限公司,,"['智能矿山', '通信']",矿山通信、井下人员定位、智能矿山,0,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉太极信息技术有限公司,,"['系统集成', '信息技术']",政务信息化、系统集成、软件开发、信息技术服务,,,,,,,,0,0,0,
武汉华胜天成信息技术有限公司,,"['云计算', '信息技术']",云计算服务、IT运维、系统集成、信息技术咨询,,,,,,,,0,0,0,
武汉国电南自信息技术有限公司,,"['系统集成', '信息技术']",电力行业信息化、系统集成、软件开发、自动化控制,,,,,,,,0,0,0,
武汉迪迈智能科技有限公司,,"['智能矿山', '3D']",矿山三维设计、数字矿山、智能采矿,0,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉南瑞信息技术有限公司,,"['系统集成', '信息技术']",电力信息化、系统集成、软件开发、信息技术服务,,,,,,,,0,0,0,
武汉长城信息系统有限公司,,"['系统集成', '信息技术']",信息系统集成、信息技术服务、软件开发、网络安全,,,,,,,,0,0,0,
武汉中地数码科技有限公司,,"['软件开发', 'GIS']",MapGIS平台开发、地理信息系统、国土资源信息化、软件开发,,,,,,,,0,0,0,
武汉超图软件有限公司,,"['软件开发', 'GIS']",GIS软件开发、地理信息系统、空间数据服务、信息技术咨询,,,,,,,,0,0,0,
武汉中钢安环科技有限公司,,"['智能矿山', '安全']",矿山安全监测、智能通风、预警系统,0,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
